nta2020,name,borough,population_2020
QN0401,Elmhurst,Queens,107864
BK1101,Bensonhurst,Brooklyn,104934
QN0301,Jackson Heights,Queens,101848
MN0702,Upper West Side (Central),Manhattan,101767
BK1202,Borough Park,Brooklyn,93905
BK1803,Canarsie,Brooklyn,89932
BK0301,Bedford-Stuyvesant (West),Brooklyn,89189
QN0602,Forest Hills,Queens,88965
BK1001,Bay Ridge,Brooklyn,86779
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,85527
BK0802,Crown Heights (North),Brooklyn,85275
BK0302,Bedford-Stuyvesant (East),Brooklyn,84653
MN0803,Upper East Side-Yorkville,Manhattan,84046
MN1002,Harlem (North),Manhattan,83327
QN1001,South Ozone Park,Queens,79540
BX0901,Soundview-Bruckner-Bronx River,Bronx,74342
QN0402,Corona,Queens,73822
MN1201,Washington Heights (South),Manhattan,72037
MN1202,Washington Heights (North),Manhattan,71842
MN0303,East Village,Manhattan,71436
MN0701,Upper West Side-Lincoln Square,Manhattan,70697
QN0707,Flushing-Willets Point,Queens,69879
MN0401,Chelsea-Hudson Yards,Manhattan,69741
BX0401,Concourse-Concourse Village,Bronx,69387
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn,69084
BK1801,Flatlands,Brooklyn,67087
BK1401,Flatbush,Brooklyn,66503
QN0502,Ridgewood,Queens,66402
MN1102,East Harlem (North),Manhattan,64655
BK0102,Williamsburg,Brooklyn,64444
MN0603,Murray Hill-Kips Bay,Manhattan,63520
MN0802,Upper East Side-Carnegie Hill,Manhattan,62410
BK0402,Bushwick (East),Brooklyn,62049
BX1201,Williamsbridge-Olinville,Bronx,61346
QN1201,Jamaica,Queens,60993
BK1103,Gravesend (West),Brooklyn,60523
BK1602,Brownsville,Brooklyn,60470
MN1101,East Harlem (South),Manhattan,59814
MN0402,Hell's Kitchen,Manhattan,59524
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn,59166
BK0401,Bushwick (West),Brooklyn,58692
QN1401,Far Rockaway-Bayswater,Queens,58648
BX0101,Mott Haven-Port Morris,Bronx,57718
BK0602,Park Slope,Brooklyn,57405
QN0704,Murray Hill-Broadway Flushing,Queens,57387
BK0703,Sunset Park (Central),Brooklyn,55606
BX0702,Bedford Park,Bronx,55521
SI0302,Great Kills-Eltingville,Staten Island,54699
BX0501,University Heights (South)-Morris Heights,Bronx,54682
BK0702,Sunset Park (West),Brooklyn,54473
QN1303,Queens Village,Queens,54345
QN0203,Woodside,Queens,53188
BK0503,East New York-New Lots,Brooklyn,53004
BK0104,East Williamsburg,Brooklyn,52998
MN0101,Financial District-Battery Park City,Manhattan,52992
BK1403,Midwood,Brooklyn,52891
BK1501,Gravesend (East)-Homecrest,Brooklyn,52797
QN0202,Sunnyside,Queens,52278
QN0103,Astoria (Central),Queens,52220
QN1205,St. Albans,Queens,51816
MN0703,Upper West Side-Manhattan Valley,Manhattan,51751
BX1202,Eastchester-Edenwald-Baychester,Bronx,51736
BK0901,Crown Heights (South),Brooklyn,50590
QN0101,Astoria (North)-Ditmars-Steinway,Queens,50225
BX0403,Mount Eden-Claremont (West),Bronx,49651
